HealthTopic,Time,RegionName,Value
Chlamydia infection,2018,United Kingdom,242386
HIV infection,2018,Austria,191
HIV infection,2018,Belgium,882
HIV infection,2018,Bulgaria,311
HIV infection,2018,Croatia,94
HIV infection,2018,Cyprus,78
HIV infection,2018,Czech Republic,208
HIV infection,2018,Denmark,217
HIV infection,2018,Estonia,190
HIV infection,2018,Finland,153
HIV infection,2018,France,4898
HIV infection,2018,Germany,2818
HIV infection,2018,Greece,686
HIV infection,2018,Hungary,229
HIV infection,2018,Iceland,37
HIV infection,2018,Ireland,504
HIV infection,2018,Italy,2847
HIV infection,2018,Latvia,326
HIV infection,2018,Lithuania,160
HIV infection,2018,Luxembourg,56
HIV infection,2018,Malta,73
HIV infection,2018,Netherlands,611
HIV infection,2018,Norway,191
HIV infection,2018,Poland,1165
HIV infection,2018,Portugal,973
HIV infection,2018,Romania,669
HIV infection,2018,Slovakia,101
HIV infection,2018,Slovenia,35
HIV infection,2018,Spain,2527
HIV infection,2018,Sweden,481
HIV infection,2018,United Kingdom,4453
HIV infection,2018,Albania,102
HIV infection,2018,Andorra,12
HIV infection,2018,Armenia,419
HIV infection,2018,Azerbaijan,656
HIV infection,2018,Belarus,2386
HIV infection,2018,Bosnia and Herzegovina,25
HIV infection,2018,Georgia,672
HIV infection,2018,Israel,447
HIV infection,2018,Kazakhstan,3216
HIV infection,2018,Kyrgyzstan,876
HIV infection,2018,Moldova,905
HIV infection,2018,Montenegro,23
HIV infection,2018,North Macedonia,45
HIV infection,2018,San Marino,3
HIV infection,2018,Serbia,186
HIV infection,2018,Serbia excluding Kosovo,178
HIV infection,2018,Kosovo,8
HIV infection,2018,Switzerland,423
HIV infection,2018,Turkey,3248
HIV infection,2018,Ukraine,15749
AIDS infection,2018,Austria,50
AIDS infection,2018,Belgium,49
AIDS infection,2018,Bulgaria,57
AIDS infection,2018,Croatia,29
AIDS infection,2018,Cyprus,10
AIDS infection,2018,Czech Republic,38
AIDS infection,2018,Denmark,26
AIDS infection,2018,Estonia,25
AIDS infection,2018,Finland,21
AIDS infection,2018,France,422
AIDS infection,2018,Germany,146
AIDS infection,2018,Greece,101
AIDS infection,2018,Hungary,57
AIDS infection,2018,Iceland,1
AIDS infection,2018,Ireland,10
AIDS infection,2018,Italy,661
AIDS infection,2018,Latvia,99
AIDS infection,2018,Lithuania,37
AIDS infection,2018,Luxembourg,4
AIDS infection,2018,Netherlands,119
AIDS infection,2018,Norway,12
AIDS infection,2018,Poland,101
AIDS infection,2018,Portugal,227
AIDS infection,2018,Romania,290
AIDS infection,2018,Slovakia,11
AIDS infection,2018,Slovenia,10
AIDS infection,2018,Spain,367
AIDS infection,2018,United Kingdom,255
AIDS infection,2018,Albania,47
AIDS infection,2018,Armenia,211
AIDS infection,2018,Azerbaijan,182
AIDS infection,2018,Belarus,382
AIDS infection,2018,Bosnia and Herzegovina,11
AIDS infection,2018,Georgia,196
AIDS infection,2018,Israel,31
AIDS infection,2018,Kazakhstan,430
AIDS infection,2018,Kyrgyzstan,56
AIDS infection,2018,Moldova,364
AIDS infection,2018,Montenegro,14
AIDS infection,2018,North Macedonia,4
AIDS infection,2018,Serbia excluding Kosovo,62
AIDS infection,2018,Kosovo,8
AIDS infection,2018,Switzerland,47
AIDS infection,2018,Turkey,108
AIDS infection,2018,Ukraine,8839
Syphilis,2019,Belgium,1670
Syphilis,2019,Bulgaria,480
Syphilis,2019,Cyprus,31
Syphilis,2019,Czechia,630
Syphilis,2019,Germany,7928
Syphilis,2019,Denmark,361
Syphilis,2019,Estonia,37
Syphilis,2019,Greece,443
Syphilis,2019,Spain,4880
Syphilis,2019,Finland,251
Syphilis,2019,France,1080
Syphilis,2019,Croatia,28
Syphilis,2019,Hungary,788
Syphilis,2019,Ireland,745
Syphilis,2019,Iceland,38
Syphilis,2019,Italy,1826
Syphilis,2019,Lithuania,117
Syphilis,2019,Luxembourg,51
Syphilis,2019,Latvia,75
Syphilis,2019,Malta,95
Syphilis,2019,Netherlands,1474
Syphilis,2019,Norway,205
Syphilis,2019,Poland,1627
Syphilis,2019,Portugal,480
Syphilis,2019,Romania,539
Syphilis,2019,Sweden,431
Syphilis,2019,Slovenia,54
Syphilis,2019,Slovakia,278
Syphilis,2019,United Kingdom,8738
Gonorrhoea,2019,Belgium,2635
Gonorrhoea,2019,Bulgaria,22
Gonorrhoea,2019,Cyprus,2
Gonorrhoea,2019,Czechia,1642
Gonorrhoea,2019,Denmark,2210
Gonorrhoea,2019,Estonia,78
Gonorrhoea,2019,Greece,201
Gonorrhoea,2019,Spain,10226
Gonorrhoea,2019,Finland,605
Gonorrhoea,2019,France,3611
Gonorrhoea,2019,Croatia,40
Gonorrhoea,2019,Hungary,1348
Gonorrhoea,2019,Ireland,2811
Gonorrhoea,2019,Iceland,122
Gonorrhoea,2019,Italy,813
Gonorrhoea,2019,Lithuania,56
Gonorrhoea,2019,Luxembourg,24
Gonorrhoea,2019,Latvia,132
Gonorrhoea,2019,Montenegro,3
Gonorrhoea,2019,North Macedonia,14
Gonorrhoea,2019,Malta,161
Gonorrhoea,2019,Netherlands,6917
Gonorrhoea,2019,Norway,1704
Gonorrhoea,2019,Poland,281
Gonorrhoea,2019,Portugal,1128
Gonorrhoea,2019,Romania,33
Gonorrhoea,2019,Serbia,107
Gonorrhoea,2019,Sweden,3245
Gonorrhoea,2019,Slovenia,223
Gonorrhoea,2019,Slovakia,369
Gonorrhoea,2019,United Kingdom,77346
Gonorrhoea,2019,Kosovo,21
Hepatitis B,2019,Austria,476
Hepatitis B,2019,Cyprus,108
Hepatitis B,2019,Czechia,276
Hepatitis B,2019,Germany,4298
Hepatitis B,2019,Denmark,164
Hepatitis B,2019,Estonia,15
Hepatitis B,2019,Finland,233
Hepatitis B,2019,Croatia,40
Hepatitis B,2019,Ireland,427
Hepatitis B,2019,Iceland,47
Hepatitis B,2019,Luxembourg,52
Hepatitis B,2019,Latvia,266
Hepatitis B,2019,Netherlands,1041
Hepatitis B,2019,Norway,370
Hepatitis B,2019,Poland,669
Hepatitis B,2019,Portugal,58
Hepatitis B,2019,Romania,9
Hepatitis B,2019,Sweden,1037
Hepatitis B,2019,Slovenia,51
Hepatitis B,2019,Slovakia,92
Hepatitis B,2019,United Kingdom,4873
Hepatitis C,2019,Austria,381
Hepatitis C,2019,Cyprus,27
Hepatitis C,2019,Czechia,1035
Hepatitis C,2019,Germany,2307
Hepatitis C,2019,Denmark,111
Hepatitis C,2019,Estonia,133
Hepatitis C,2019,Greece,22
Hepatitis C,2019,Spain,741
Hepatitis C,2019,Croatia,89
Hepatitis C,2019,Ireland,94
Hepatitis C,2019,Latvia,1336
Hepatitis C,2019,Poland,501
Hepatitis C,2019,Portugal,71
Hepatitis C,2019,Romania,4
Hepatitis C,2019,Sweden,916
Hepatitis C,2019,Slovenia,66
Hepatitis C,2019,Slovakia,220
Hepatitis C,2019,United Kingdom,851
Chlamydia infection,2019,Belgium,8288
Chlamydia infection,2019,Bulgaria,121
Chlamydia infection,2019,Cyprus,1
Chlamydia infection,2019,Denmark,35680
Chlamydia infection,2019,Estonia,1064
Chlamydia infection,2019,Greece,62
Chlamydia infection,2019,Spain,15612
Chlamydia infection,2019,Finland,16181
Chlamydia infection,2019,Croatia,150
Chlamydia infection,2019,Hungary,913
Chlamydia infection,2019,Ireland,9208
Chlamydia infection,2019,Iceland,1795
Chlamydia infection,2019,Italy,1109
Chlamydia infection,2019,Lithuania,248
Chlamydia infection,2019,Luxembourg,44
Chlamydia infection,2019,Latvia,1253
Chlamydia infection,2019,Malta,320
Chlamydia infection,2019,Netherlands,18148
Chlamydia infection,2019,Norway,28446
Chlamydia infection,2019,Poland,418
Chlamydia infection,2019,Portugal,787
Chlamydia infection,2019,Romania,14
Chlamydia infection,2019,Sweden,34784
Chlamydia infection,2019,Slovenia,397
Chlamydia infection,2019,Slovakia,780
Chlamydia infection,2019,United Kingdom,258904
HIV infection,2019,Austria,225
HIV infection,2019,Bulgaria,258
HIV infection,2019,Croatia,102
HIV infection,2019,Cyprus,100
HIV infection,2019,Czechia,222
HIV infection,2019,Denmark,190
HIV infection,2019,Estonia,178
HIV infection,2019,Finland,149
HIV infection,2019,France,4923
HIV infection,2019,Germany,3093
HIV infection,2019,Greece,603
HIV infection,2019,Hungary,238
HIV infection,2019,Iceland,28
HIV infection,2019,Ireland,533
HIV infection,2019,Italy,2531
HIV infection,2019,Latvia,295
HIV infection,2019,Lithuania,151
HIV infection,2019,Luxembourg,48
HIV infection,2019,Malta,80
HIV infection,2019,Netherlands,563
HIV infection,2019,Norway,172
HIV infection,2019,Poland,1468
HIV infection,2019,Portugal,778
HIV infection,2019,Romania,690
HIV infection,2019,Slovakia,101
HIV infection,2019,Slovenia,34
HIV infection,2019,Spain,2483
HIV infection,2019,Sweden,449
HIV infection,2019,United Kingdom,4116
HIV infection,2019,Albania,101
HIV infection,2019,Armenia,446
HIV infection,2019,Azerbaijan,721
HIV infection,2019,Belarus,2137
HIV infection,2019,Bosnia and Herzegovina,30
HIV infection,2019,Georgia,668
HIV infection,2019,Israel,408
HIV infection,2019,Kazakhstan,3673
HIV infection,2019,Kyrgyzstan,850
HIV infection,2019,Montenegro,26
HIV infection,2019,Moldova,922
HIV infection,2019,Russia,80124
HIV infection,2019,Serbia,215
HIV infection,2019,Serbia excluding Kosovo,210
HIV infection,2019,Kosovo,5
HIV infection,2019,Switzerland,421
HIV infection,2019,Tajikistan,1320
HIV infection,2019,Turkey,3229
HIV infection,2019,Ukraine,16357
AIDS infection,2019,Austria,56
AIDS infection,2019,Bulgaria,68
AIDS infection,2019,Croatia,20
AIDS infection,2019,Cyprus,3
AIDS infection,2019,Czechia,38
AIDS infection,2019,Denmark,22
AIDS infection,2019,Estonia,28
AIDS infection,2019,Finland,18
AIDS infection,2019,France,430
AIDS infection,2019,Germany,74
AIDS infection,2019,Greece,86
AIDS infection,2019,Hungary,53
AIDS infection,2019,Iceland,4
AIDS infection,2019,Ireland,6
AIDS infection,2019,Italy,571
AIDS infection,2019,Latvia,90
AIDS infection,2019,Lithuania,21
AIDS infection,2019,Luxembourg,3
AIDS infection,2019,Netherlands,93
AIDS infection,2019,Norway,19
AIDS infection,2019,Poland,85
AIDS infection,2019,Portugal,172
AIDS infection,2019,Romania,282
AIDS infection,2019,Slovakia,3
AIDS infection,2019,Slovenia,7
AIDS infection,2019,Spain,251
AIDS infection,2019,United Kingdom,269
AIDS infection,2019,Albania,40
AIDS infection,2019,Armenia,173
AIDS infection,2019,Azerbaijan,196
AIDS infection,2019,Belarus,380
AIDS infection,2019,Bosnia and Herzegovina,8
AIDS infection,2019,Georgia,265
AIDS infection,2019,Israel,23
AIDS infection,2019,Kazakhstan,441
AIDS infection,2019,Kyrgyzstan,46
AIDS infection,2019,Montenegro,10
AIDS infection,2019,Moldova,285
AIDS infection,2019,Serbia excluding Kosovo,68
AIDS infection,2019,Kosovo,5
AIDS infection,2019,Switzerland,59
AIDS infection,2019,Tajikistan,141
AIDS infection,2019,Turkey,112
AIDS infection,2019,Ukraine,7511
Syphilis,2020,Belgium,1407
Syphilis,2020,Bulgaria,319
Syphilis,2020,Cyprus,43
Syphilis,2020,Czechia,716
Syphilis,2020,Germany,7404
Syphilis,2020,Denmark,445
Syphilis,2020,Estonia,33
Syphilis,2020,Greece,401
Syphilis,2020,Spain,4531
Syphilis,2020,Finland,207
Syphilis,2020,France,982
Syphilis,2020,Croatia,22
Syphilis,2020,Hungary,774
Syphilis,2020,Ireland,581
Syphilis,2020,Iceland,31
Syphilis,2020,Italy,843
Syphilis,2020,Liechtenstein,4
Syphilis,2020,Lithuania,54
Syphilis,2020,Luxembourg,199
Syphilis,2020,Latvia,68
Syphilis,2020,Malta,85
Syphilis,2020,Netherlands,1526
Syphilis,2020,Norway,287
Syphilis,2020,Poland,711
Syphilis,2020,Portugal,869
Syphilis,2020,Romania,296
Syphilis,2020,Sweden,473
Syphilis,2020,Slovenia,31
Syphilis,2020,Slovakia,160
Gonorrhoea,2020,Belgium,1707
Gonorrhoea,2020,Bulgaria,17
Gonorrhoea,2020,Cyprus,7
Gonorrhoea,2020,Czechia,1672
Gonorrhoea,2020,Denmark,2669
Gonorrhoea,2020,Estonia,22
Gonorrhoea,2020,Greece,161
Gonorrhoea,2020,Spain,10306
Gonorrhoea,2020,Finland,482
Gonorrhoea,2020,France,5398
Gonorrhoea,2020,Croatia,13
Gonorrhoea,2020,Hungary,1261
Gonorrhoea,2020,Ireland,2061
Gonorrhoea,2020,Iceland,93
Gonorrhoea,2020,Italy,333
Gonorrhoea,2020,Liechtenstein,4
Gonorrhoea,2020,Lithuania,31
Gonorrhoea,2020,Luxembourg,311
Gonorrhoea,2020,Latvia,109
Gonorrhoea,2020,North Macedonia,23
Gonorrhoea,2020,Malta,94
Gonorrhoea,2020,Netherlands,6826
Gonorrhoea,2020,Norway,1045
Gonorrhoea,2020,Poland,246
Gonorrhoea,2020,Portugal,1068
Gonorrhoea,2020,Romania,10
Gonorrhoea,2020,Serbia,54
Gonorrhoea,2020,Sweden,2692
Gonorrhoea,2020,Slovenia,213
Gonorrhoea,2020,Slovakia,319
Gonorrhoea,2020,Kosovo,3
Hepatitis B,2020,Austria,379
Hepatitis B,2020,Cyprus,30
Hepatitis B,2020,Czechia,143
Hepatitis B,2020,Germany,3170
Hepatitis B,2020,Denmark,136
Hepatitis B,2020,Estonia,21
Hepatitis B,2020,Greece,5
Hepatitis B,2020,Finland,162
Hepatitis B,2020,Croatia,7
Hepatitis B,2020,Ireland,254
Hepatitis B,2020,Iceland,32
Hepatitis B,2020,Lithuania,15
Hepatitis B,2020,Latvia,210
Hepatitis B,2020,Netherlands,695
Hepatitis B,2020,Norway,221
Hepatitis B,2020,Poland,156
Hepatitis B,2020,Portugal,46
Hepatitis B,2020,Sweden,679
Hepatitis B,2020,Slovenia,26
Hepatitis B,2020,Slovakia,71
Hepatitis C,2020,Austria,257
Hepatitis C,2020,Cyprus,8
Hepatitis C,2020,Czechia,683
Hepatitis C,2020,Germany,1561
Hepatitis C,2020,Denmark,158
Hepatitis C,2020,Estonia,123
Hepatitis C,2020,Greece,19
Hepatitis C,2020,Spain,391
Hepatitis C,2020,Croatia,41
Hepatitis C,2020,Ireland,25
Hepatitis C,2020,Lithuania,65
Hepatitis C,2020,Latvia,1038
Hepatitis C,2020,Poland,102
Hepatitis C,2020,Portugal,41
Hepatitis C,2020,Sweden,672
Hepatitis C,2020,Slovenia,44
Hepatitis C,2020,Slovakia,188
Chlamydia infection,2020,Belgium,5692
Chlamydia infection,2020,Bulgaria,50
Chlamydia infection,2020,Cyprus,4
Chlamydia infection,2020,Denmark,34681
Chlamydia infection,2020,Estonia,942
Chlamydia infection,2020,Greece,66
Chlamydia infection,2020,Spain,15254
Chlamydia infection,2020,Finland,16280
Chlamydia infection,2020,Croatia,121
Chlamydia infection,2020,Hungary,624
Chlamydia infection,2020,Ireland,6901
Chlamydia infection,2020,Iceland,1788
Chlamydia infection,2020,Italy,602
Chlamydia infection,2020,Liechtenstein,30
Chlamydia infection,2020,Lithuania,174
Chlamydia infection,2020,Luxembourg,1003
Chlamydia infection,2020,Latvia,1202
Chlamydia infection,2020,Malta,235
Chlamydia infection,2020,Netherlands,16109
Chlamydia infection,2020,Norway,25444
Chlamydia infection,2020,Poland,167
Chlamydia infection,2020,Portugal,765
Chlamydia infection,2020,Romania,5
Chlamydia infection,2020,Sweden,32890
Chlamydia infection,2020,Slovenia,280
Chlamydia infection,2020,Slovakia,682
HIV infection,2020,Austria,155
HIV infection,2020,Belgium,727
HIV infection,2020,Bulgaria,199
HIV infection,2020,Croatia,76
HIV infection,2020,Cyprus,105
HIV infection,2020,Czech Republic,251
HIV infection,2020,Denmark,161
HIV infection,2020,Estonia,143
HIV infection,2020,Finland,136
HIV infection,2020,France,3443
HIV infection,2020,Germany,2454
HIV infection,2020,Greece,601
HIV infection,2020,Hungary,201
HIV infection,2020,Iceland,34
HIV infection,2020,Ireland,429
HIV infection,2020,Italy,1303
HIV infection,2020,Latvia,257
HIV infection,2020,Lithuania,108
HIV infection,2020,Luxembourg,44
HIV infection,2020,Malta,82
